autoNo if host in,
Prokaryote,
coffee,
Vulpes.*,
seal.*,
Macaca.*,
Starfish,
.*scrofa.*,
Styela plicata,
Pseudoregma bambucicola,
marmot,
geese,
cat,
Snake,
citrus,
.*dolphin.*,
Animal.*,
none,
Drosophila.*,
Lens culinaris,
Stipa.*,
seaweed,
Vitis.*,
Citrus.*,
Marmoset.*,
cotton,
cattle,
Chrysomelidae,
Aplidium,
Canis.*,
.*bear.*,	
.*bison.*,	
Phascolarctos cinereus,	
.*Cervus.*,	
Odocoileus virginianus,	
Tapirus indicus,	
Sialia mexicana,	
.*ocean.*,	
near rep 2_oceanic.*,	
near rep 3_estuarine.*,	
.*estuarine.*,	
Acer palmatum,	
Picea glauca,	
Tamarix aphylla,	
Sophora flavescens,	
Anaerobic sludge,	
Pinus.*,	
.*rats.*,	
ecological metatranscriptomes,	
Zophobas atratus,	
Penaeus vannamei,	
Apostichopus japonicus,	
Neodon.*,	
Lakes,	
Lasiopodomys gregalis,	
Eothenomys eva,	
Alces alces,	
Equus ferus caballus,	
.*tuberosum,	
CSTR,	
.*sediment,	
Escherichia.*,	
Chinchilla.*,	
atmosphere,	
Prokaryote,	
air samples,	
natural/free-living,	
Forest soil,	
.*soil.*,	
caprine,	
Stone,	
.*prokaryote,	
.*environmental.*,	
sludge,	
Rehmannia glutinosa,	
Haliotis diversicolor,	
Sarracenia.*,	
.*Rattus.*,	
.*Capra.*,	
.*earth.*,	
.*invertebrates.*,	
.*sludge.*,	
.*microbes.*,	
Ircinia campana,	
Sarracenia,	
Mountain,	
Porifera,	
Penaeus vannamei,	
Streptomyces.*,	
Burkholderia.*,	
Klebsiella.*,	
Achromobacter.*,	
Stenotrophomonas.*,	
Bradyrhizobium japonicum,	
Rhizobium phaseoli.*,	
Chesse fermentation tank,	
Indian ocean,	
.*ocean.*,	
Elaeis guineensis,	
Macaranga tanarius,	
Elaeis guineensis,	
Cistanthe,	
Stercorarius antarcticus,	
Parkesia motacilla.*,	
landfill cover soil,	
.*soil.*,	
Sloth bear and Leopard,	
.*bear.*,	
Lithobates clamitans,	
Bos indicus.*,	
Salicornia europaea,	
Quercus ilex.*,	
Ovis aries,	
Sarracenia alata,	
Sarracenia.*,	
.*musculus.*,	
Apodemus.*,	
Sorex araneus,	
.*Rattus.*,	
Lytechinus variegatus,	
,
 ,
"",
"""""",
"""Bacteria""",
.*bacteria.*,
.*bovine.*,
.*cheese.*,
.*chicken,
.*crab*,
.*Jacksonia.*,
.*microbial.*,
.*milk.*,
.*plant.*,
.*Ptilotus.*,
.*seawater.*,
.*taurus.*,
.*unifasciata,
.*water.*,
Alpine meadow soil,
Ammophila breviligulata,
Angelica sinensis seedlings,
Angelica sinensis.*,
aquatic metagenome,
bacteria,
bacterial,
BALB/c,
Banana.*,
biocrust.*,
Bos grunniens,
Bos taurus,
Brassica juncea var. tumida,
brolier chicken,
Burnupena lagenaria.*,
Callyspongia diffusa,
Cassiope tetragona,
Cherry,
Chicken,
Chiroptera,
Chlorella sorokiniana,
Coalho goat cheese surface,
Cornu aspersum,
cow.*,
cows,
Dermacentor sinicus,
Dipus sagitta Allactaga sibirica,
ecological metagenome,
Enriched microbial community,
Environment,
Environment samples,
environmental,
environmental sample,
Eucalyptus,
extraciton kit for coral samples,
extraction kit for environmental samples,
Fagus sylvatica,
fermented food,
flower,
Fruit peels.*,
gallus,
grass carp.*,
Guava,
Guazuma_ulmifolia stick,
Heat treated milk,
Homo sapiens,
Homo-sapiens,
"Hordeum vulgare ""Granger""",
Hordeum vulgare.*,
Hyalomma asiaticum bv. kozlovi olenew,
Lake St. Clair,
Leopard,
Low shore rock.*,
maize,
Malus domestica,
Mammuthus primigenius,
Mango peel,
Mango.*,
marine bacteria,
Marmota sibirica,
Megaptera novaeangliae,
missing,
Mixed hosts,
mouse,
Mus.*,
Mus musculus,
Mus musculus albus,
Myriophyllum spicatum,
N. unifasciata,
Nasopharyngeal swab samples,
natural / free-living,
no applicable,
no.* applicable,
not applicable,
Not Applicable,
Not applicable,
Not avaliable,
not collected,
Octomeris angulosa.*,
on Jacksonia sp.,
on Ptilotus sp.,
Oncorhynchus mykiss,
Orientallactaga sibirica,
Oryza sativa.*,
P. niger,
Panicum virgatum,
Papaya peel,
papaya.*,
Passion fruit.*,
Peanut,
Perna perna.*,
Pinus sibirica,
Pisaster ochraceus individual 38,
Pisaster ochraceus.*,
plant,
Porcine,
Potorous gilbertii,
Produced water,
Pteropus sp.,
Pteropus.*,
Rattus norvegicus,
Raw bovine milk storage,
Rhizome,
Rice husk samples,
Rock surface,
Sarcophilus harrisii,
scale insect,
Scutellastra cochlear.*,
Seriola rivoliana,
Shelf for cheese storage,
soil samples,
soil.*,
Soybean,
stone surface,
Surface seawater,
swine,
Tournefortia sibirica,
Triticum aestivum,
Ulva australis,
unknown,
Wahlenbergia,
waste biocover soil,
wastewater,
Water,
water samples,
whale,
Whey,
