host,Apoidea,taxid,count
Megachile sp. (policaris),Megachile policaris,1732052.0,239
Megachile sp. (leafcutter bee),Megachile,132116.0,15
Megachile sp.,Megachile,132116.0,15
Osmia sp. (mason bee),Osmia,124287.0,10
Dialictus,Dialictus,88475.0,1
Lasioglossum,,,757
Bombus,,,69
Melipona,,,1
stingless bees,,,11
Nomia,,,2
